Jenis Tanaman,Produksi Buah-Buahan dan Sayuran Tahunan
Alpukat/Avocado(kw/qui),104519
Anggur/Grape(kw/qui),598
Apel/Apple(kw/qui),
Belimbing/Star Fruit(kw/qui),36039
Duku/Langsat/Kokosan/Duku(kw/qui),28037
Durian/Durian(kw/qui),225491
Jambu Air/Water Apple(kw/qui),25028
Jambu Biji/Guava(kw/qui),159007
Jengkol/Jengkol(kw/qui),
Jeruk Besar/Pomelo(kw/qui),261
Jeruk Siam/Keprok/Orange/Tangerine(kw/qui),1688777
Mangga/Mango(kw/qui),157764
Manggis/Mangosteen(kw/qui),159843
Melinjo/Gnetum/Melinjo(kw/qui),6359
Nangka/Cempedak/Jackfruit(kw/qui),107574
Nenas/Pineapple(kw/qui),1087
Pepaya/Papaya(kw/qui),1305916
Petai/Twisted Cluster Bean(kw/qui),20114
Pisang/Banana(kw/qui),1724191
Rambutan/Rambutan(kw/qui),301914
Salak/Snakefruit(kw/qui),250860
Sawo/Sapodilla/Sawo(kw/qui),6334
Sirsak/Soursop(kw/qui),40457
Sukun/Breadfruit(kw/qui),8153
Buah Naga/Hylocereus polyrhizus(kw/qui),41817
Jeruk Lemon/Lemon(kw/qui),1364
Lengkeng/Dimocarpus longan(kw/qui),23578
