Jenis Tanaman,Produksi Buah-Buahan dan Sayuran Tahunan
Alpukat/Avocado(kw/qui),50899
Anggur/Grape(kw/qui),687
Apel/Apple(kw/qui),
Belimbing/Star Fruit(kw/qui),21270
Duku/Langsat/Kokosan/Duku(kw/qui),19884
Durian/Durian(kw/qui),36526
Jambu Air/Water Apple(kw/qui),15708
Jambu Biji/Guava(kw/qui),26920
Jengkol/Jengkol(kw/qui),
Jeruk Besar/Pomelo(kw/qui),142
Jeruk Siam/Keprok/Orange/Tangerine(kw/qui),1114483
Mangga/Mango(kw/qui),125589
Manggis/Mangosteen(kw/qui),34686
Melinjo/Gnetum/Melinjo(kw/qui),4212
Nangka/Cempedak/Jackfruit(kw/qui),80040
Nenas/Pineapple(kw/qui),311
Pepaya/Papaya(kw/qui),270846
Petai/Twisted Cluster Bean(kw/qui),7995
Pisang/Banana(kw/qui),631689
Rambutan/Rambutan(kw/qui),143782
Salak/Snakefruit(kw/qui),45876
Sawo/Sapodilla/Sawo(kw/qui),5538
Sirsak/Soursop(kw/qui),11707
Sukun/Breadfruit(kw/qui),6868
Buah Naga/Hylocereus polyrhizus(kw/qui),8100
Jeruk Lemon/Lemon(kw/qui),848
Lengkeng/Dimocarpus longan(kw/qui),8354
