Jenis Tanaman,Produksi Buah-Buahan dan Sayuran Tahunan
Alpukat/Avocado(kw/qui),20261
Anggur/Grape(kw/qui),727
Apel/Apple(kw/qui),
Belimbing/Star Fruit(kw/qui),44241
Duku/Langsat/Kokosan/Duku(kw/qui),18837
Durian/Durian(kw/qui),84060
Jambu Air/Water Apple(kw/qui),7378
Jambu Biji/Guava(kw/qui),31566
Jengkol/Jengkol(kw/qui),315
Jeruk Besar/Pomelo(kw/qui),1523
Jeruk Siam/Keprok/Orange/Tangerine(kw/qui),3493101
Mangga/Mango(kw/qui),177316
Manggis/Mangosteen(kw/qui),34336
Melinjo/Gnetum/Melinjo(kw/qui),3905
Nangka/Cempedak/Jackfruit(kw/qui),73339
Nenas/Pineapple(kw/qui),631
Pepaya/Papaya(kw/qui),927261
Petai/Twisted Cluster Bean(kw/qui),16159
Pisang/Banana(kw/qui),747703
Rambutan/Rambutan(kw/qui),184797
Salak/Snakefruit(kw/qui),22593
Sawo/Sapodilla/Sawo(kw/qui),4670
Sirsak/Soursop(kw/qui),5995
Sukun/Breadfruit(kw/qui),3034
Buah Naga/Hylocereus polyrhizus(kw/qui),...
Jeruk Lemon/Lemon(kw/qui),...
Lengkeng/Dimocarpus longan(kw/qui),...
