Jenis Tanaman,Produksi Buah-Buahan dan Sayuran Tahunan
Alpukat/Avocado(kw/qui),82562
Anggur/Grape(kw/qui),720
Apel/Apple(kw/qui),
Belimbing/Star Fruit(kw/qui),17741
Duku/Langsat/Kokosan/Duku(kw/qui),80218
Durian/Durian(kw/qui),353011
Jambu Air/Water Apple(kw/qui),29610
Jambu Biji/Guava(kw/qui),110910
Jengkol/Jengkol(kw/qui),14
Jeruk Besar/Pomelo(kw/qui),3511
Jeruk Siam/Keprok/Orange/Tangerine(kw/qui),1903717
Mangga/Mango(kw/qui),237492
Manggis/Mangosteen(kw/qui),242909
Melinjo/Gnetum/Melinjo(kw/qui),7721
Nangka/Cempedak/Jackfruit(kw/qui),93980
Nenas/Pineapple(kw/qui),367
Pepaya/Papaya(kw/qui),535141
Petai/Twisted Cluster Bean(kw/qui),28549
Pisang/Banana(kw/qui),1005628
Rambutan/Rambutan(kw/qui),471975
Salak/Snakefruit(kw/qui),394016
Sawo/Sapodilla/Sawo(kw/qui),13528
Sirsak/Soursop(kw/qui),19598
Sukun/Breadfruit(kw/qui),28018
Buah Naga/Hylocereus polyrhizus(kw/qui),20103
Jeruk Lemon/Lemon(kw/qui),2719
Lengkeng/Dimocarpus longan(kw/qui),22352
